state0,state1,reward
24,149,-66.91900000000001
18,287,-61.69749999999999
6,76,-248.5055
277,72,-43.1335
189,248,2.93969
92,59,-136.691
148,34,-172.957
173,6,-258.1595
67,3,-388.8945
18,61,-37.451
3,52,-320.04
26,258,-39.793000000000006
5,97,-264.182
35,22,-260.8125
54,6,-363.4455
8,40,-150.02800000000005
3,9,-12.91855
85,90,-77.3655
194,884,-38.079
56,5,-371.234
85,46,-172.10299999999995
18,779,-46.033
254,12,-155.841
9,7,-318.7995
55,49,-155.033
230,5,-229.0165
132,6,-292.8805
4,327,-174.71099999999996
13,693,-12.97365
21,207,-73.8495
129,67,-114.3375
23,71,-9.714299999999998
14,3,-412.6965
19,3,-415.8355
3,3,-302.4455
28,20,-263.3325
202,327,2.43425
16,876,-55.584
3,27,-275.2885
6,8,-236.9015
157,41,-151.32049999999995
14,46,-37.12600000000001
30,946,-84.274
4,895,-18.264400000000013
22,421,8.283299999999999
6,207,-195.313
19,20,-229.4885
154,379,-10.48105
64,229,5.057649999999999
48,161,6.89775
17,5,-386.5615
112,10,-283.081
15,5,-383.6585
55,192,5.9206499999999975
38,30,-217.7795
34,22,-259.6725
27,555,-19.9355
19,776,-47.99100000000001
136,36,-175.783
104,652,-44.3265
4,8,-145.2765
8,873,-16.3233
176,86,-72.14349999999997
17,33,-88.82350000000002
4,36,-265.5945
151,8,-259.802
19,11,-320.798
3,31,-291.6755
83,289,-7.509149999999997
59,77,-84.2995
39,11,-334.2975
8,12,-198.677
3,166,-278.3345
5,799,-10.32495
78,87,-79.339
74,15,-290.851
129,317,-11.597299999999995
12,9,-312.7915000000001
172,3,-312.17
36,68,-53.334
7,535,-46.6135
36,17,-293.436
19,902,-65.98649999999999
8,11,-219.8865
239,86,-46.5465
21,401,-8.7101
18,584,-6.193950000000001
226,204,3.132115
20,10,-333.629
93,190,-11.43395
34,832,-73.61399999999998
100,5,-331.90600000000006
4,110,-279.9945
236,5,-225.0405
21,33,-132.5975
183,42,-132.641
91,3,-370.22150000000005
141,423,-18.666400000000014
183,146,-22.87330000000001
12,151,-153.0115
4,217,-226.0325
11,108,-172.7915
89,7,-324.0675
54,9,-340.327
14,492,-7.269749999999997
231,38,-109.90700000000001
13,9,-319.666
4,4,-299.334
31,118,-21.85575
44,11,-332.802
78,212,-3.5986499999999992
18,4,-400.871
207,5,-244.86350000000004
5,43,-248.774
50,111,-17.9867
73,756,-63.57599999999999
259,4,-230.36900000000003
25,181,-59.1495
157,137,-29.8641
171,547,-20.42045
116,40,-178.00400000000005
58,24,-256.0665
55,59,-123.0505
99,67,-119.3765
35,333,6.320899999999999
60,475,-25.32565
99,7,-314.69949999999994
24,5,-389.781
8,7,-305.5005
11,554,-5.156849999999999
118,553,-27.0441
19,19,-239.17
25,242,-47.2365
5,217,-206.1365
25,69,14.8168
253,6,-199.9315
217,11,-187.8015
24,337,-20.96845
154,74,-94.9085
32,431,6.2012
224,19,-153.6385
3,6,-157.18050000000005
8,181,-182.418
97,4,-347.261
5,13,-42.67
4,23,-194.0835
100,10,-294.1765
7,162,-203.9465
286,91,-23.86145
6,889,20.5755
144,831,-50.05200000000001
30,91,11.84215
5,71,-269.1445
65,222,5.1053000000000015
8,4,-371.24250000000006
95,975,-75.5565
220,11,-185.488
54,306,4.9057450000000005
15,67,-93.502
3,445,-162.73700000000005
9,32,-65.223
224,376,2.158665
3,57,-321.2195
9,495,-39.4695
59,3,-394.9965
4,3,-338.0435
30,35,-170.3455
163,800,-41.2
7,4,-361.2645
6,18,62.2225
12,320,-83.0285
144,22,-207.7705
138,4,-313.086
63,20,-273.456
9,778,-7.1191999999999975
81,23,-250.961
13,15,-235.447
29,341,-5.634399999999999
184,89,-65.4585
4,482,-116.62100000000001
183,5,-262.4455
23,123,-68.6795
3,326,-205.665
170,28,-171.39600000000004
111,417,-18.93845
48,6,-368.1705
6,6,-291.9735
6,143,-227.583
102,261,-5.16245
20,3,-415.983
9,603,-5.9343499999999985
230,11,-178.0045
138,14,-240.485
95,303,-9.196400000000004
10,9,-293.3915
153,14,-227.2955
37,3,-410.1275
196,28,-152.35299999999995
102,40,-183.7305
46,721,-61.94200000000001
3,777,-80.61149999999998
45,15,-306.892
223,13,-174.203
228,64,-74.06800000000001
7,572,-35.26499999999999
167,13,-219.387
20,213,-77.91650000000001
13,40,-19.953050000000005
48,11,-330.74
13,18,-195.0895
4,32,-252.0835
46,52,-134.991
20,123,-87.8435
7,213,-178.7545
105,290,-7.603200000000001
20,255,-63.89750000000001
63,236,5.02975
135,154,-22.21894999999999
7,237,-166.8605
7,32,-135.91049999999998
100,114,-53.14500000000001
12,20,-151.2335
8,438,-68.91
29,502,-9.795700000000004
276,174,3.27708
6,908,20.693900000000006
205,4,-264.0125
118,211,-7.52495
65,672,-54.1465
31,469,-4.139900000000001
246,972,-33.331599999999995
6,600,-40.601
33,6,-377.3115
183,190,-8.81284999999999
7,10,-216.0035
8,3,-393.94
4,16,-91.3825
26,284,-31.98990000000001
35,68,-49.26650000000001
149,5,-289.3115
40,274,6.2078500000000005
74,126,-30.88215
4,510,-107.734
3,117,-302.2295000000001
50,153,6.918699999999999
38,174,-13.4983
37,11,-334.8780000000001
283,17,-117.973
10,4,-384.28150000000005
67,25,-249.30150000000003
24,798,-59.77850000000001
49,613,-46.513999999999996
38,45,-145.83249999999995
89,143,-25.38015000000001
127,3,-343.0755
3,32,-294.7435000000001
174,16,-202.0825
45,840,-77.566
102,5,-330.09349999999995
7,26,-78.59700000000002
6,646,-28.0276
15,15,-255.0
37,170,-16.500049999999998
161,14,-220.43900000000002
17,587,-3.6295499999999983
187,693,-30.279850000000003
13,6,-363.596
23,4,-401.90150000000006
155,474,-19.6516
47,470,-21.404449999999983
229,7,-205.6915
109,346,-11.7381
3,62,-321.115
24,18,-269.187
15,282,-79.679
63,23,-259.9415
35,3,-411.2265
12,15,-222.7515
18,10,-328.6935
21,20,-240.921
169,87,-72.95349999999998
5,554,-71.154
8,67,-207.236
179,389,-1.2272000000000034
18,34,-93.268
247,41,-94.9055
11,3,-407.0195
73,19,-272.7495
67,811,-72.033
39,4,-395.0565
7,24,-52.1635
73,88,-74.84299999999998
3,14,-130.498
10,385,-71.16799999999998
7,368,-107.277
15,4,-398.06199999999995
38,415,-0.6287000000000003
282,4,-217.429
266,25,-109.9615
24,300,-33.492
4,58,-291.778
13,440,-30.476
23,613,-25.9087
21,52,-10.840349999999995
40,4,-394.39700000000005
208,5,-244.1495
4,218,-225.4545
16,6,-371.8805
95,37,-195.415
24,34,-147.5145
25,3,-415.51
56,22,-266.254
3,545,-133.082
11,951,-47.9905
143,19,-218.054
7,3,-386.31050000000016
3,10,-3.90625
84,33,-213.183
110,106,-59.0975
6,12,-128.4905
83,99,-63.905
66,32,-221.6705
79,170,-11.38635
80,529,-33.5162
179,13,-209.256
94,42,-180.96599999999998
66,615,-45.32100000000001
99,369,-15.542250000000005
21,62,-2.6221999999999994
6,349,-128.2985
48,29,-232.1545
5,3,-360.5425
4,213,-228.0225
19,66,-38.741
5,716,-28.46605000000001
122,79,-95.2935
29,435,6.62395
23,384,-8.32815
297,692,-0.20929999999999893
55,776,-69.5925
285,114,-9.6813
89,60,-136.14600000000002
236,405,2.027735
31,3,-413.2655
108,165,-19.70830000000001
167,798,-36.06200000000001
28,578,-26.6019
161,374,-6.499900000000008
25,95,-37.0
4,54,-290.4075
122,91,-78.72399999999998
6,11,-155.36100000000005
13,42,-33.940400000000004
5,216,-206.6025
10,16,-171.93599999999995
13,322,-75.49849999999998
82,297,-11.09225
28,804,-65.19149999999999
41,32,-211.286
15,486,-4.351849999999999
77,96,-65.968
28,177,-45.65750000000001
4,9,-107.1215
146,6,-280.63000000000005
15,220,-105.088
5,182,-224.097
250,3,-266.72900000000004
81,68,-115.5325
95,219,-6.3682000000000025
35,148,-16.8056
21,30,-155.7835
218,173,-5.082000000000002
3,49,-319.0275
6,26,-123.8125
78,61,-132.0115
109,14,-266.341
15,40,25.85285
8,150,-196.5025
18,17,-253.46400000000003
9,4,-378.689
4,333,-172.166
10,368,-78.1995
15,465,-10.9435
70,87,-74.28699999999998
16,120,-120.483
37,201,-13.843600000000002
9,182,-170.94349999999997
41,27,-237.4795
40,50,-128.1625
13,399,-45.03100000000001
34,126,-13.1423
49,45,-164.3275
93,13,-285.136
9,42,-132.062
5,613,-54.33150000000001
34,194,-25.32350000000001
125,3,-344.5385
287,390,1.919075
9,193,-165.6605
5,23,-139.746
5,119,-255.5965
150,145,-26.686100000000003
5,118,-255.95500000000004
19,99,-87.06649999999998
4,67,-292.8795
216,6,-225.3725
121,6,-302.6875
58,279,4.8876100000000005
21,7,-366.71
208,24,-153.005
3,277,-226.1685
13,4,-394.4905
11,6,-353.98800000000006
139,39,-166.4555
13,603,11.3929
48,177,6.6182
28,540,-17.67375
30,171,-38.308
163,89,-71.61749999999998
191,78,-76.7465
4,835,-29.03765
17,415,-19.0346
10,440,-50.31049999999999
13,203,-125.44200000000001
86,73,-106.0985
61,154,-5.206
22,26,-194.7505
19,6,-376.2975
36,874,-79.22200000000002
47,211,6.2258999999999975
3,5,-205.6005
6,17,64.3805
89,37,-198.305
110,10,-284.892
9,52,-166.04500000000004
63,6,-355.856
4,82,-290.4375
54,94,-44.8145
5,284,-173.3445
6,844,20.32235
5,162,-234.692
4,259,-205.4545
163,32,-167.0725
16,80,-101.351
68,8,-336.00250000000005
11,90,-170.611
39,344,5.7499
12,676,-4.225200000000001
150,400,-8.78425
125,13,-256.3615
230,35,-115.2785
245,75,-53.485
105,191,-14.898449999999995
299,27,-85.4015
153,3,-324.7715
3,221,-251.5465
4,180,-244.89
