design1,design2,merit1,merit2
183,10,47.0343,10.6185
12,24,22.4541,8.656830000000001
127,65,27.023000000000003,2.01453
24,72,3.82689,3.0093400000000003
9,198,35.6723,4.84275
49,3,83.4596,49.2754
479,19,4.57263,4.02326
9,747,3.12187,2.97034
224,62,18.9109,1.7242
25,352,5.65605,1.60857
596,4,64.2313,79.5644
101,260,4.03644,0.76244
29,233,9.8765,1.69815
16,332,13.8972,2.3881900000000003
83,65,27.8916,2.28622
80,162,5.8131,1.10756
3,32,61.9487,20.3878
43,80,12.4624,2.27243
22,301,11.1529,1.90733
47,40,39.5279,4.23039
998,3,100.0,0.0
992,14,17.4809,7.23871
49,195,0.968392,1.25325
159,66,23.9492,1.8386
21,12,66.1822,16.4029
25,3,86.102,56.9143
205,53,23.3164,2.06541
397,22,10.967,3.7019800000000003
219,44,24.5066,2.40462
12,153,33.4302,4.16207
74,145,7.02094,1.22547
137,170,5.9474,0.864617
6,277,35.1546,5.96266
108,15,55.5566,8.8671
176,300,2.71002,0.547249
497,839,0.172543,0.205488
499,9,11.6675,9.36069
252,72,13.958,1.43687
101,447,7.9727,0.60063
129,249,2.82535,0.691603
188,740,9.69987,0.34807
86,177,5.28236,1.0154
491,145,8.78202,0.6752279999999999
14,134,30.6586,3.81606
311,39,15.1152,2.35829
263,50,17.7167,1.9877799999999999
34,31,44.0542,5.82114
30,103,5.77968,2.2650799999999998
4,13,5.24225,18.0726
3,7,24.7777,31.6074
84,3,78.13600000000002,41.8154
276,22,24.9698,4.254519999999999
76,381,5.64628,0.745283
358,70,4.84204,1.2973
38,4,82.1407,41.2527
876,50,20.2682,1.65962
446,5,26.4894,19.1226
42,27,50.7107,6.44578
9,218,33.7836,4.65713
154,13,49.1221,8.8771
422,37,4.3573900000000005,2.2114
15,16,51.5948,12.7668
761,11,7.3540899999999985,8.335989999999999
278,124,4.49449,0.858764
26,23,50.1686,8.24414
524,41,4.59454,1.9507599999999998
64,626,12.5417,0.712843
29,562,7.78379,1.27325
5,491,21.2138,5.53276
603,18,4.25539,4.2481300000000015
7,85,49.0711,8.05052
73,39,42.0382,3.9126800000000004
16,889,14.4945,1.92372
7,74,48.81100000000001,8.36483
16,433,6.54091,2.14053
3,91,65.6941,15.9945
7,40,38.8804,9.63331
264,25,25.2945,3.8333800000000013
19,902,16.1973,1.68293
96,272,4.13345,0.763596
4,614,18.6028,6.26213
29,18,58.9794,10.4103
715,20,10.9931,3.98914
13,14,52.8874,14.8124
615,5,69.8498,70.6148
11,123,37.085,4.84123
203,33,30.393,3.25913
30,33,39.5683,5.58059
6,63,52.1126,9.96421
4,408,31.4869,7.15044
113,5,67.0484,24.2746
3,40,65.2454,19.5856
29,64,9.14097,3.01983
23,133,17.1363,2.52871
63,192,2.25964,1.1107200000000002
10,216,32.0529,4.26998
26,12,67.7064,15.9109
105,49,34.9201,2.80983
120,87,19.8022,1.56645
6,17,2.6993400000000003,12.8761
41,63,20.2097,2.81421
397,189,5.02119,0.5648380000000001
26,911,18.4013,1.31786
65,337,4.45768,0.8553959999999999
191,27,34.6588,4.04676
243,23,29.0105,4.28936
396,379,3.97524,0.350559
359,3,46.3889,32.2348
643,974,1.0139200000000002,0.175949
428,3,62.9523,90.4554
3,497,32.3323,8.464030000000001
393,17,13.751,4.7759800000000014
102,5,69.0187,25.2084
7,495,14.9508,4.1407300000000005
15,101,28.2426,3.94296
33,32,42.5834,5.66897
30,8,74.9471,23.0466
3,638,24.938000000000002,8.1339
11,4,80.7257,49.3472
56,27,51.5269,6.05769
12,12,56.4556,17.4123
3,330,43.8147,9.80998
227,8,42.7358,12.1058
236,324,0.157857,0.458366
10,34,13.2268,7.310739999999999
102,50,34.6573,2.7795099999999997
301,9,31.3094,9.87107
45,235,2.0674200000000003,1.22412
416,84,1.43389,1.05796
4,6,47.4159,36.2347
25,106,12.5624,2.56733
266,81,10.8259,1.2655100000000001
267,8,37.1646,11.5068
19,192,20.8636,2.58229
126,158,6.9702600000000015,0.937298
290,241,0.8806729999999999,0.5131220000000001
43,6,77.3383,27.9603
70,33,46.5133,4.67753
12,18,38.9359,11.5686
191,3,63.0403,32.5666
414,10,17.6254,8.29815
86,200,5.26525,0.9484950000000001
383,129,2.64474,0.760411
663,19,8.11759,4.12226
325,133,0.65367,0.765455
3,747,20.2751,8.21299
4,856,8.032739999999999,6.20118
4,328,37.8688,7.79788
287,3,52.6538,31.5223
77,9,67.26,16.2369
445,4,70.5334,84.5349
258,385,0.4437100000000001,0.401656
150,329,3.97021,0.557711
17,4,83.0223,47.2155
11,107,37.4847,5.0639400000000006
827,420,13.4693,0.281611
117,294,4.12172,0.665034
755,36,15.6269,2.23081
5,3,75.1085,66.0141
780,351,13.8319,0.32215900000000003
70,968,20.3533,0.615575
55,23,55.2656,7.1525
346,8,27.6587,10.9065
353,601,1.12592,0.279082
12,788,8.436069999999999,2.40103
110,682,11.8017,0.48933000000000004
577,215,12.0465,0.488316
6,44,47.3001,10.7989
252,582,3.22289,0.330823
876,48,20.199,1.7228900000000005
429,14,12.1637,5.68548
26,9,73.0161,21.0864
9,25,1.32115,8.546380000000001
48,700,14.9847,0.8557459999999999
371,163,3.32167,0.640154
